country,year,wpp_pop,nso_pop,abs_dif,rel_dif
Hungary,2018,9707502,9775563.5,68061.5,0.0070112269871280995
Hungary,2019,9684680,9771141,86461,0.008927605248702074
Hungary,2020,9660350,9750149,89799,0.009295625934878135
Iceland,2015,330237,330814.5,577.5,0.001748744083794366
Iceland,2016,332209,335439,3230,0.009722794987492813
Iceland,2017,334395,343399.5,9004.5,0.02692773516350424
Iceland,2018,336712,352721,16009,0.047545083038323555
Iceland,2019,339037,360563,21526,0.063491595312606
Iceland,2020,341250,366463,25213,0.07388424908424908
Iceland,2021,343360,372860,29500,0.0859156570363467
Italy,2015,60578489,60229604.5,-348884.5,-0.00575921429799941
Italy,2016,60663068,60115223,-547845,-0.009030947791826158
Italy,2017,60673694,60002251.5,-671442.5,-0.011066451632234556
Italy,2018,60627291,59877221,-750070,-0.012371821132499553
Italy,2019,60550092,59729080.5,-821011.5,-0.013559211437696908
Italy,2020,60461828,59438850.5,-1022977.5,-0.016919394167176024
Italy,2021,60367471,59160529,-1206942,-0.019993251001023383
Lithuania,2015,2931872,2904910,-26962,-0.00919617227491514
Lithuania,2016,2889555,2868231,-21324,-0.007379683030778096
Lithuania,2017,2845419,2828402.5,-17016.5,-0.005980314322776364
Lithuania,2018,2801270,2801542.5,272.5,9.727730636461319e-5
Lithuania,2019,2759631,2794137,34506,0.012503845622838706
Lithuania,2020,2722291,2794885,72594,0.02666650993593264
Lithuania,2021,2689862,2786772,96910,0.03602787057477298
Netherlands,2015,16938492,16939923,1431,8.448213689860939e-5
Netherlands,2016,16981285,17030313.5,49028.5,0.0028872078879778533
Netherlands,2017,17021343,17131295.5,109952.5,0.006459684174157115
Netherlands,2018,17059560,17231623.5,172063.5,0.010086045595548772
Netherlands,2019,17097123,17344874,247751,0.014490800586741992
Netherlands,2020,17134873,17441500,306627,0.017894909404931103
Northern Ireland,2015,1851631.4000000004,1851621,-10.400000000372529,-5.616668630901661e-6
